ID,Бренд,Наименование,Количество,Цена,Цена по акции
560499665,CHATEAU TAMAGNE,"Вино Chateau Tamagne Eno Мерло красное полусладкое, 0.75л",354,299,0
427339,ITALO CESCON,"Вино Italo Cescon Storia E Vini Pinot Grigio белое,сухое, 0.75л",46,1899,0
5228273,PROTOTYPE,"Вино Prototype Chardonnay California Raymond белое сухое, 0.75л",17,1499,1349.1
175765,MICHELE CHIARLO,"Вино Michele Chiarlo Nivole Moscato белое сладкое, 0.375л",12,1519,0
493260880,LAVIS,"Вино Lavis Riesling белое полусухое, 0.75л",115,1299,0
577590,KAIKEN,"Вино Kaiken Estate Malbec красное сухое, 0.75л",29,1499,1349.1
575871,CAMPELO,"Вино Campelo Vinho Verde белое полусухое, 0.75л",62,809,728.1
614174,MUCHO MAS,"Вино Mucho Mas белое сухое, 3л",15,2999,2699.1
517078,ВИНОДЕЛЬНЯ ВЕДЕРНИКОВЪ,"Вино Винодельня Ведерниковъ Красностоп Золотовский красное сухое, 0.75л",12,1499,1099
637680,DEMUERTE,"Вино Demuerte One красное полусухое, 0.75л",15,1549,1099
369005518,AGORA,"Вино Agora Muscat белое полусладкое, 0.75л",10,499,399
601407180,DARLING RIVER,"Вино Darling River Shiraz красное полусухое, 0.75л",3,999,0
574428,BATUTA,"Вино Batuta Tempranillo красное полусухое, 0.75л",31,599,539.1
548556,ALAZANI,"Вино Alazani Mukuzani красное сухое, 0.75л",235,880,0
237429257,PFAFFL,"Вино Pfaffl Vom Haus Zweigelt красное сухое, 0.75л",299,1059,799
483961,CORTE ADAMI,"Вино Corte Adami Amarone della Valpolicella красное сухое, 0.75л",11,5199,0
546846,THE LACKEY,"Вино The Lackey Shiraz красное сухое, 0.75л",7,1829,1299
7020864,RIVER DELTA,"Вино River Delta Sauvignon Blanc белое сухое, 0.75л",32,2159,1943.1
492086486,NOBILOMO,"Вино Nobilomo Malvasia Colli de Scandiano e Canosa белое полусладкое, 0.75л",8,859,0
557512268,RIPORTA,"Вино Riporta Nero D'avola Appassite красное полусухое, 0.75л",236,1099,0
393088,FANAGORIA,"Вино Fanagoria Авторское вино Каберне-Мерло красное сухое, 0.75л",193,429,0
442322,VINA REAL,"Вино Vina Real Casal Garcia Branco Vinho Verde белое полусухое, 0.75л",231,1199,999
550767,SUTHERLAND,"Вино Sutherland Riesling белое сухое, 0.75л",6,1899,1709.1
539576,KREMS,"Вино Domane Krems Gruner Veltliner белое сухое, 0.75л",17,1399,0
655721,ПСОУ,"Вино Псоу белое полусладкое, 0.75л",75,,499
595643220,ZB WINE,"Вино ZB Wine Riesling белое полусухое, 0.75л",9,629,0
92804,VILLA ANTINORI,"Вино Villa Antinori Bianco белое сухое, 0.75л",66,2199,0
402571,SOPRASASSO,"Вино Soprasasso Pra Amarone della Valpolicella красное полусухое, 0.75л",11,3699,0
656256,BALLORO,"Вино Balloro Soave белое сухое, 0.75л",26,599,0
639536,DOMINI VENETI,"Вино Domini Veneti Appassimento красное полусухое, 0.75л",12,1999,0
577491,FIRRIATO,"Вино Firriato Branciforti dei Bordonaro Grillo белое сухое, 0.75л",22,1799,1299
440346,BOUCHARD,"Вино Bouchard Aine & Fils Grand Conseiller Pinot Noir красное сухое, 0.75л",43,919,0
8909809,TERRE DEGLI EREMI,"Вино Terre Degli Eremi Riserva Montepulciano d'Abruzzo красное сухое, 0.75л",2,899,0
209796,NR,"Вино Fanagoria NR Шардоне белое сухое, 0.75л",50,389,0
604940084,KOPKE,"Вино Kopke Porto портвейн 10 лет в подарочной упаковке, 0.75л",7,4349,3914.1
299556229,TRISTORIA,"Вино Tristoria Аппеласьон Совиньон Блан-Шардоне белое сухое, 0.75л",8,899,599
480531,CHATEAU TAMAGNE,"Вино Chateau Tamagne Saperavi Reserva красное сухое, 0.75л",11,779,0
532045,H. LUN 1840,"Вино H. Lun 1840 Pinot Grigio белое сухое, 0.75л",11,2499,0
455230,MARIPOSA,"Вино Mariposa Greta Oto Viura белое сухое, 0.75л",38,649,584.1
402697,MININI,"Вино Minini Pinot Grigio белое сухое, 0.75л",405,1299,999
392538,BADAGONI,"Вино Badagoni Kindzmarauli красное полусладкое, 0.75л",28,1199,999
601653214,KAFFA,"Вино Kaffa Саперави красное сухое, 0.75л",119,479,399
534952,МАССАНДРА,"Вино Массандра красное полусладкое, 0.75л",28,429,0
411861,PEARLY BAY,"Вино Pearly Bay красное сладкое, 0.75л",189,559,503.1
593519,CANTINA DIOMEDE,"Вино Cantina Diomede Nero di Troia Puglia Canace полусухое красное, 0.75л",12,4999,3699
401577,MARIUS BY M. CHAPOUTIER,"Вино Marius by M. Chapoutier Vermentino белое сухое, 0.75л",333,999,0
555324,TRIMBACH,"Вино Trimbach Gewurztraminer белое сухое, 0.75л",5,3999,0
89769538,ESCAPADA,"Вино Escapada Lissabon белое полусухое, 0.75л",27,939,699
656341,ЛЫХНЫ,"Вино Лыхны красное полусладкое, 0.75л",12,499,0
444115,FRANZ HAAS,"Вино Franz Haas Manna белое сухое, 0.75л",8,3229,0
89053161,ARZUAGA,"Вино Arzuaga Ribera del Duero La Planta красное сухое, 0.75л",20,2299,1699
190214,DON RAMON,"Вино Bodegas Aragonesas Don Ramon Campo de Borja красное сухое, 0.75л",597,1149,849
570893,SONNENTAL,"Вино Sonnental Riesling белое полусухое, 0.75л",57,919,0
183737,TENUTA ARGENTIERA,"Вино Tenuta Argentiera Villa Donoratico красное сухое, 0.75л",28,5499,0
215884,TORRES,"Вино Torres Vina Sol Catalunya белое сухое, 0.75л",23,1249,999
119352,CASILLERO DEL DIABLO,"Вино Casillero del Diablo Carmenere красное сухое, 0.75л",123,1099,989.1
561956,MUCHO MAS,"Вино Mucho Mas белое сухое, 0.75л",201,999,899.1
176767,ALAMOS,"Вино Alamos Chardonnay белое сухое, 0.75л",19,1479,1331.1
595562716,ESCAPE,"Вино Escape Shiraz красное полусухое, 0.75л",12,829,599
552704,PIQUITO,"Вино Piquito Organic Monastrell красное сухое, 0.75л",126,699,599
571409235,CANTINA SCANSANO,"Вино Cantina Scansano Talamo Bianco di Pitigliano белое сухое, 0.75л",237,959,0
476482,VALDEMAR,"Вино Conde Valdemar Reserva красное сухое, 1.5л",6,2999,2699.1
181523,VILLA ANTINORI,"Вино Villa Antinori Vermentino Bolgheri белое сухое, 0.75л",15,3999,0
49091917,MAMIKO,"Вино Алазанская Долина Mamiko Саперави красное сухое, 0.75л",122,599,0
612811,АЙ-ПЕТРИ,"Вино Ай-Петри Каберне-совиньон красное полусладкое, 0.75л",21,319,0
504194,BIALONI,"Вино Bialoni Мукузани красное сухое, 0.75л",414,699,0
170764,SCHUCHMANN,"Вино Schuchmann Mtsvane белое сухое, 0.75л",14,1699,0
579130,GOLAN HEIGHTS,"Вино Golan Heights Winery Hermon Mount Hermon красное сухое, 0.75л",19,2799,0
518728,BEAU-RIVAGE,"Вино Beau-Rivage красное сухое, 0.75л",6,2499,0
491927541,NOBILOMO,"Вино Nobilomo Marzemino Colli de Scandiano e Canosa красное полусладкое, 0.75л",13,849,0
655981,АПСНЫ,"Вино Апсны красное полусладкое, 0.75л",51,,499
368957228,AGORA,"Вино Agora Cabernet Sauvignon красное сухое, 0.75л",14,569,0
604908495,СКАЛИСТЫЙ БЕРЕГ,"Вино Скалистый берег Дыхание волн белое сухое, 0.75л",7,1079,0
654232,АБРАУ ДЮРСО,"Вино Абрау Дюрсо Estates красное сухое, 0.75л",221,539,0
268833865,СОЛНЕЧНАЯ ДОЛИНА,"Вино Солнечная Долина Крым красное сухое, 0.75л",24,539,0
501187,BIALONI,"Вино Bialoni Цинандали белое сухое, 0.75л",328,559,0
545488,JEAN BOUCHARD,"Вино Jean Bouchard Petit Chablis белое сухое, 0.75л",9,4299,3199
563382,PENALOLEN AZUL,"Вино Clos Quebrada De Macul Penalolen Azul красное сухое, 0.75л",10,3199,2879.1
548667,ALAZANI,"Вино Alazani Алазанская долина красное полусладкое, 0.75л",397,529,0
403052,SOPRASASSO,"Вино Soprasasso Valpolicella Ripasso красное полусухое, 0.75л",8,1749,0
115498,NR,"Вино Fanagoria NR белое полусладкое, 0.75л",26,389,0
547635,PRA,"Вино Graziano Pra Morandina Valpolicella красное сухое, 0.75л",6,2299,0
562326,FEUDO MACCARI,"Вино Feudo Maccari Saia Nero dAvola Sicilia IGT красное сухое, 0.75л",7,4539,3499
471819,ALBERT BICHOT,"Вино Albert Bichot Petit Chablis белое сухое, 0.75л",23,2699,0
566795,SALMON CLUB,"Вино Salmon Club Sauvignon Blanc белое полусухое, 0.75 л",54,1899,1499
392673,BADAGONI,"Вино Badagoni Alazani Valley красное полусладкое, 0.75л",20,699,599
596256893,ШУМРИНКА,"Вино Шумринка Семисам Мерло-Каберне Совиньон красное сухое, 0.75л",9,999,799
600733772,GREENLIFE,"Вино GreenLife Sauvignon Blanc белое сухое, 0.75л",313,1499,1299
439031,ВИНОДЕЛЬНЯ ВЕДЕРНИКОВЪ,"Вино Винодельня Ведерниковъ Губернаторское красное сухое, 0.75л",19,699,629
492086541,PROTOTYPE,"Вино Prototype Zinfandel красное сухое, 0.75л",2,1399,1259.1
517096,МАССАНДРА,"Вино Кокур Массандра белое сухое, 0.75л",19,429,0
595641445,ZB WINE,"Вино ZB Wine Bastardo красное полусладкое, 0.75л",20,629,549
448272,TILENUS,"Вино Bodegas Estefania Tilenus La Florida красное сухое, 0.75л",3,2699,2429.1
654777,АБРАУ ДЮРСО,"Вино Абрау Дюрсо Estates белое сухое, 0.75л",191,539,0
83763,FRONTERA,"Вино Frontera Merlot красное полусухое, 0.75л",22,669,602.1
534893,LETH,"Вино Leth Terrassen Gruner Veltliner белое сухое, 0.75л",165,1199,0
410562,PEARLY BAY,"Вино Pearly Bay белое сладкое, 0.75л",148,559,503.1
521163,INSOLITO,"Вино Insolito красное полусухое, 1.5л",148,1599,1439.1
321567352,PETIRROJO,"Вино Petirrojo Reserva Cabernet Sauvignon красное сухое, 0.75л",5,1459,1099
595643085,TIO TOTO,"Вино Херес Tio Toto Cream белое сладкое, 0.75л",6,1299,1169.1
548156,FALKENSTEIN,"Вино Falkenstein Riesling Sudtirol DOC белое сухое, 0.75л",10,2449,0
493260375,SEPTIMA SENTIDO,"Вино Septima Sentido Tempranillo красное сухое, 0.75л",11,1099,799
249838,DI LENARDO,"Вино Di Lenardo Pinot Grigio белое сухое, 0.75л",10,1519,1199
483180,СОЛНЕЧНАЯ ДОЛИНА,"Вино Солнечная Долина Черный Полковник ликерное красное сладкое, 0.75л",28,849,0
137943,TORRES,"Вино Torres San Valentin красное сухое, 0.75л",56,999,749
134525,BERONIA,"Вино Beronia Reserva красное сухое, 0.75л",23,2299,2069.1
218545,VALDOURO,"Вино ликерное Valdouro Porto White Porto белый сладкий, 0.75л",3,1549,1394.1
413520574,FRESCOBALDI,"Вино Remole Rosso Frescobaldi красное полусухое, 0.75л",23,1419,0
581357,TRUMPETER,"Вино TrumpeTer Torrontes белое сухое, 0.75л",8,1459,1199
552039,M. CHAPOUTIER,"Вино M. Chapoutier Crozes-Hermitage Les Meysonniers сухое красное, 0.75л",10,3299,0
219012,QUERCIABELLA,"Вино Querciabella Mongrana Maremma Toscana красное сухое, 0.75л",18,2499,0
579167,GOLAN HEIGHTS,"Вино Golan Heights Winery Hermon Mount Hermon белое сухое, 0.75л",4,2799,0
592135298,RIVER COURSE,"Вино River Course Sauvignon Blanc Rheinhessen Andreas Oster Weinkellerei белое сухое, 0.75л",40,1049,0
342210073,AGORA,"Вино Agora Muscat Black красное сладкое, 0.75л",13,569,449
150020,TORRES,"Вино Torres Sangre de Toro красное сухое, 0.75л",31,1299,1099
469863,CHATEAU BEL AIR,"Вино Chateau Bel Air Bordeaux красное сухое, 0.75л",101,1399,1099
186461,CASILLERO DEL DIABLO,"Вино Casillero del Diablo Cabernet Sauvignon красное сухое, 0.75л",154,1099,989.1
478565,LOUIS ESCHENAUER,"Вино Louis Eschenauer Bordeaux Superieur AOC Reserve красное сухое, 0.75л",25,1099,0
500923318,MARANI,"Вино Алазанская Долина Marani красное полусладкое, 0.75л",6,579,549
548548,BORGOBRUNO,"Вино Borgobruno красное полусухое, 0.75л",132,799,0
547980,PRA,"Вино Graziano Pra Morandina Ripasso красное сухое, 0.75л",11,3199,0
492132,CATENA ZAPATA,"Вино Catena Zapata Malbec красное сухое, 0.75л",13,2999,2699.1
510738,CANTAGALLO,"Вино Tenuta Cantagallo Chianti Riserva Montalbano красное сухое, 0.75л",15,1499,0
548596,ALAZANI,"Вино Alazani Kindzmarauli красное полусладкое, 0.75л",322,899,0
141885,BOUCHARD,"Вино Bouchard Aine & Fils Cotes du Rhone Rouge красное сухое, 0.75л",14,949,0
501989333,MARANI,"Вино Marani Saperavi Rose розовое сухое, 0.75л",12,789,629
604905155,СКАЛИСТЫЙ БЕРЕГ,"Вино Скалистый берег Ветер в травах красное сухое, 0.75л",7,1079,0
604905095,СКАЛИСТЫЙ БЕРЕГ,"Вино Скалистый берег Песнь холмов красное сухое, 0.75л",5,1079,0
268833870,СОЛНЕЧНАЯ ДОЛИНА,"Вино Солнечная Долина Крым белое сухое, 0.75л",12,539,0
225246,SCHUCHMANN,"Вино Schuchmann Kindzmarauli красное полусладкое, 0.75л",11,1069,0
571409245,CANTINA SCANSANO,"Вино Cantina Scansano Ciliegiolo Maremma Toscana красное сухое, 0.75л",270,1059,0
226254,FANTINEL,"Вино Fantinel Pinot Grigio белое сухое, 0.75л",18,1059,0
493860,ALTE ROCCHE BIANCHE,"Вино Alte Rocche Bianche Barolo красное сухое, 0.75л",43,2199,0
505560,FAUSTINO,"Вино Faustino VII Tempranillo Rioja DOC красное сухое, 0.75л",77,1049,944.1
89676038,ESCAPADA,"Вино Escapada Lissabon красное полусухое, 0.75л",29,939,699
595561356,GATO NEGRO,"Вино Gato Negro Carmenere красное сухое, 0.75л",6,849,764.1
570820,RONCO BLANCHIS,"Вино Ronco Blanchis Pinot Grigio Collio белое сухое, 0.75л",22,1899,1499
576053,EL BAR ARGENTINO,"Вино El Bar Argentino Chardonnay белое сухое, 0.75л",157,599,539.1
517373,CAVANZA,"Вино Cavanza Cabernet Sauvignon красное сухое, 0.75л",193,529,449
581102,NELEMAN,"Вино Neleman Tempranillo-Monastrell красное сухое, 0.75л",11,1599,1199
555308,SUTHERLAND,"Вино Sutherland Pinot Noir красное сухое, 0.75л",9,3099,2789.1
402272,LA PIUMA,"Вино La Piuma Montepulciano dAbruzzo красное полусухое, 3л",19,2199,0
538429,PALAVANI,"Вино Palavani Saperavi Kvevri красное сухое, 0.75л",13,1399,0
2278804,YASMIN,"Вино Yasmin Vino Verde розовое полусухое, 0.75л",321,999,899.1
482049,МАССАНДРА,"Вино Массандра Мускат белый красного камня белое сладкое, 0.75л",27,999,0
85630,CUSUMANO,"Вино Cusumano Nadaria Nero d'Avola красное сухое, 0.75л",23,1069,0
35551168,CHATEAU PINOT,"Вино Chateau Pinot Chardonnay Riesling белое сухое, 0.75л",10,659,0
483820,СОЛНЕЧНАЯ ДОЛИНА,"Вино ликерное Солнечная Долина Порто белое сладкое, 0.75л",20,769,649
183566,TIO PEPE,"Херес Tio Pepe Palomino Fino Jerez DO Gonzalez Byass белое сухое, 0.75л",14,1999,1799.1
535061,МАССАНДРА,"Вино Массандра белое полусладкое, 0.75л",19,429,0
534334,SCHUCHMANN,"Вино Schuchmann Khvanchkara красное полусладкое, 0.75л",12,2099,0
605021583,МАССАНДРА,"Вино Массандра Мускатель Черный Десертное красное сладкое, 0.75л",22,599,0
545697,CANTINA CELLARO,"Вино Cantina Cellaro Shiraz Barossa Valley Kavel's Flock красное сухое, 0.75л",11,2799,2519.1
534888,МАССАНДРА,"Вино Массандра Лакрима Кристи красное сладкое, 0.75л",15,879,0
5227508,RAPAURA SPRINGS,"Вино Rapaura Springs Sauvignon Blanc Blush Marlborough розовое полусухое, 0.75л",225,1649,1484.1
601435666,GOLUBITSKOE,"Вино Golubitskoe Estate Cabernet Sauvignon красное сухое, 0.75л",5,1099,799
362586,TENUTA SANT'ANTONIO,"Вино Tenuta Sant'antonio Scaia Corvina красное полусухое, 0.75л",7,2199,0
378331,QUERCIABELLA,"Вино Querciabella Chianti Classico красное сухое, 0.375л",3,1999,0
446004,STADLMANN,"Вино Weingut Stadlmann Gruner Veltliner белое сухое, 0.75л",12,1899,0
501272,BIALONI,"Вино Bialoni Саперави красное сухое, 0.75л",430,559,0
93451,FRONTERA,"Вино Frontera Cabernet Sauvignon красное полусухое, 0.75л",64,669,602.1
560305475,DELECTO,"Вино Delecto Verdejo Seleccion белое сухое, 0.75л",162,699,629.1
427034,ITALO CESCON,"Вино Italo Cescon Storia E Vini Merlot красное сухое, 0.75л",12,1899,0
491927546,SEPTIMA SENTIDO,"Вино Septima Sentido Verdejo белое сухое, 0.75л",18,1099,799
546071,DOMAINE DU BOIS DES CHENES,"Вино Domaine Du Bois Des Chenes красное сухое, 0.75л",7,2149,1799
402837,CHEVAL QUANCARD,"Вино Cheval Quancard Bordeaux Superior красное сухое, 0.75л",3,999,0
560305200,CHATEAU TAMAGNE,"Вино Chateau Tamagne Eno Мерло-Анчелотта красное сухое, 0.75л",213,299,0
11817847,АШЫЦ,"Вино Ашыц белое полусладкое, 0.75л",10,749,0
400428,CHATEAU TAMAGNE,"Вино Chateau Tamagne Cabernet Reserve красное сухое, 0.75л",110,779,0
576781,LA PIUMA,"Вино La Piuma Orvieto Classico белое сухое, 3л",8,2599,0
569467,LA PIUMA,"Вино La Piuma Pecorino белое сухое, 3л",12,2599,0
135310,TENUTA SANT'ANTONIO,"Вино Tenuta Sant'antonio Scaia Chardonnay белое полусухое, 0.75л",18,2199,0
521954,BARONE MONTALTO,"Вино Barone Montalto Bianco белое полусухое, 0.75л",19,799,0
491034,RAPAURA SPRINGS,"Вино Rapaura Springs Sauvignon Blanc Marlborough белое сухое, 0.75л",552,1610,1449
444662,STADLMANN,"Вино Weingut Stadlmann Riesling белое полусухое, 0.75л",12,1999,0
595643100,TRAPICHE,"Вино Trapiche Malbec красное сухое, 0.75л",6,999,899.1
160307,CASILLERO DEL DIABLO,"Вино Casillero del Diablo Merlot красное сухое, 0.75л",45,1099,989.1
532125,GENERACION,"Вино Tempore Generacion 73 Garnacha красное сухое, 0.75л",26,1499,1349.1
516828,MININI,"Вино Minini Orvieto DOC белое сухое, 0.75л",6,1259,0
531713,GENERACION,"Вино Tempore Generacion 76 Tempranillo красное сухое, 0.75л",11,1499,1349.1
595715994,WOODHAVEN,"Вино Woodhaven Cabernet Sauvignon красное полусухое, 0.75л",15,1249,1099
647506,KAGOR METEORA,"Вино Kagor Meteora красное сладкое, 0.75л",13,1399,0
605021603,FANAGORIA,"Вино Fanagoria Алиготе-Рислинг белое сухое, 0.75л",6,429,0
216011,DON SIMON,"Вино Don Simon Sangria красное сладкое, 1л",32,599,429
455653,VIU MANENT,"Вино Viu Manent Sauvignon Blanc Reserva белое сухое, 0.75л",20,1199,1079.1
493260870,MONCARO,"Вино Moncaro Lacrima красное полусухое, 0.75л",92,769,0
255158,GATO NEGRO,"Вино Gato Negro Sauvignon Blanc белое сухое, 0.75л",6,849,764.1
168198909,VINOS VALTUILLE,"Вино Vinos Valtuille Pago de Valdoneje Mencia красное сухое, 0.75л",16,1499,1349.1
119220,DONNAFUGATA,"Вино Donnafugata Sedara красное сухое, 0.75л",6,2999,1999
440333,BOUCHARD,"Вино Bouchard Aine & Fils Grand Conseiller Chardonnay белое сухое, 0.75л",63,909,0
637400,MARCO ZANATTA,"Вино Vermentino di Sardegna Marco Zanatta белое сухое, 0.75л",12,2019,0
483539,СОЛНЕЧНАЯ ДОЛИНА,"Вино ликерное Солнечная Долина Доктор красное сладкое, 0.75л",21,1629,0
633906,CHATEAU MUKHRANI,"Вино Chateau Mukhrani Rose розовое сухое, 0.75л",13,1899,1499
5228268,PROTOTYPE,"Вино Prototype Cabernet Sauvignon California Raymond красное сухое, 0.75л",40,1399,1259.1
596255503,ШУМРИНКА,"Вино Шумринка Спелая роза розовое сухое, 0.75л",7,999,799
141594,DILIGO,"Вино Diligo Pinot Grigio белое сухое, 0.75л",7,1599,0
516682,CAVANZA,"Вино Cavanza Chardonnay белое сухое, 0.75л",79,529,449
549067,PEARLY BAY,"Вино Pearly Bay красное сухое, 3л",24,1549,1394.1
393226,LUIGI BOSCA,"Вино Luigi Bosca Chardonnay белое сухое, 0.75л",10,2399,2159.1
552705,M. CHAPOUTIER,"Вино M. Chapoutier Tavel Beaurevoir розовое сухое, 0.75л",12,2299,0
402178,MARIUS BY M. CHAPOUTIER,"Вино Marius by M. Chapoutier Rose розовое сухое, 0.75л",707,999,0
413577279,KOPKE FINE,"Вино ликерное Kopke Fine Ruby Porto портвейн красное сладкое, 0.75л",42,1949,1749
605166209,АБРАУ ЭСТЕЙТС,"Вино Абрау Эстейтс розовое сухое, 0.75л",11,509,0
659977,ВЫСОКИЙ БЕРЕГ,"Вино Высокий Берег Каберне Совиньон красное сухое, 0.75л",7,649,0
111122,CRU LERMONT,"Вино Cru Lermont Cabernet Sauvignon красное сухое, 0.75л",23,719,649
581295,LUCCARELLI,"Вино Luccarelli Negroamaro Puglia красное полусухое, 0.75л",58,1879,1499
577270,KAIKEN,"Вино Kaiken Estate Sauvignon Blanc Semillon белое сухое, 0.75л",15,1499,1349.1
